text,aspect
"The delivery was quick and the package arrived in good condition.",delivery
"I love the camera quality but the battery drains fast.",quality
"Terrible customer support and unhelpful responses.",support
"Great value for the price, very affordable compared to competitors.",price
"The setup instructions were confusing and poorly written.",documentation
"Battery life improved after the latest update.",quality
"Delivery was delayed and tracking information was inaccurate.",delivery
"The device overheats when running multiple apps.",quality
"Clear documentation and helpful examples made installation easy.",documentation
"Support team resolved my issue within minutes.",support
"Price is too high for the features offered.",price
"The delivery driver left the package unattended but it was intact.",delivery
